factorial,primitive,engine,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n
support_noise,bound,spline,true-full,0.525,0.01,0.55,0.55,0.4,0.1,0.03333333333333333,0.18333333333333332,0.03150984330386555,0.021917534444501563,0.04190781713973055,0.8,0.0,60
support_noise,bound,spline,true-full,0.525,0.05,0.55,0.55,0.4,0.38333333333333336,0.26666666666666666,0.5166666666666667,0.021859298597324925,0.005834453685368162,0.04014782679176964,0.48333333333333334,0.0,60
support_noise,bound,spline,true-full,0.7,0.001,0.55,0.55,0.4,0.25,0.15,0.36666666666666664,0.07307459481837611,0.04752285729070047,0.10078400775567356,0.6666666666666666,0.0,60
support_noise,bound,spline,true-full,0.7,0.01,0.55,0.55,0.4,0.18333333333333332,0.1,0.2833333333333333,0.08008197904407109,0.0534150969283512,0.10745303726266403,0.75,0.0,60
support_noise,bound,spline,true-full,0.7,0.05,0.55,0.55,0.4,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.09428837202173462,0.05146172022845658,0.14274843484243815,0.65,0.0,60
support_noise,curvature,neural,true-full,0.35,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.024922170317859926,0.023904817878802807,0.02596731455829956,1.0,0.0,60
support_noise,curvature,neural,true-full,0.35,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.0236922634418534,0.022738718327172374,0.02467561333902449,1.0,0.0,60
support_noise,curvature,neural,true-full,0.35,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.021185701583104663,0.019460714783808612,0.022776672701856945,0.9833333333333333,0.0,60
support_noise,curvature,neural,true-full,0.525,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.039824955803998655,0.03820028275001612,0.04144377014159509,1.0,0.0,60
support_noise,curvature,neural,true-full,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.038148480741993014,0.03661453290506319,0.039690831262731756,1.0,0.0,60
support_noise,curvature,neural,true-full,0.525,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.03287185698862188,0.030412341187177342,0.035219697390760106,1.0,0.0,60
support_noise,curvature,neural,true-full,0.7,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.05023586633793286,0.0483026577283283,0.052215333088418484,1.0,0.0,60
support_noise,curvature,neural,true-full,0.7,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.0516308951034137,0.049592917389319,0.053817898202841635,1.0,0.0,60
support_noise,curvature,neural,true-full,0.7,0.05,0.55,0.55,0.4,0.03333333333333333,0.0,0.08333333333333333,0.0432015513481854,0.03595202633892717,0.048965734108412005,0.9666666666666667,0.03333333333333333,60
support_noise,curvature,spline,true-full,0.35,0.001,0.55,0.55,0.4,0.6166666666666667,0.5,0.7333333333333333,-6.172227942578209e-05,-8.419250793344132e-05,-4.127101596333931e-05,0.23333333333333334,0.0,60
support_noise,curvature,spline,true-full,0.35,0.01,0.55,0.55,0.4,0.7166666666666667,0.6,0.8333333333333334,-0.0011095728672847604,-0.001522219546748093,-0.0007451248099549177,0.23333333333333334,0.03333333333333333,60
support_noise,curvature,spline,true-full,0.35,0.05,0.55,0.55,0.4,0.7833333333333333,0.6833333333333333,0.8833333333333333,-0.00821060417448297,-0.010821053229926146,-0.005869206970813563,0.16666666666666666,0.0,60
support_noise,curvature,spline,true-full,0.525,0.001,0.55,0.55,0.4,0.7833333333333333,0.6666666666666666,0.8833333333333333,-0.0003167563359015168,-0.0004133131780553605,-0.00022469400596035734,0.16666666666666666,0.016666666666666666,60
