task_id,proposal_index,prefix_exposure,policy,nrmse
23,23,high,closed_mechanism,0.21098731883207417
23,23,high,invariant_residual_MAP,0.025084420513385608
23,23,high,invariant_residual_ensemble,0.02292983155814346
23,23,high,evidence_weighted_residual_mixture,0.025128379203661587
23,23,high,free_baseline,0.03019833844827854
23,23,low,closed_mechanism,0.21098731883207417
23,23,low,invariant_residual_MAP,0.4924969410022056
23,23,low,invariant_residual_ensemble,0.2998953264286681
23,23,low,evidence_weighted_residual_mixture,0.33621086971543623
23,23,low,free_baseline,0.39926632445422366
23,23,medium,closed_mechanism,0.21098731883207417
23,23,medium,invariant_residual_MAP,0.15006366488307715
23,23,medium,invariant_residual_ensemble,0.020278671670204397
23,23,medium,evidence_weighted_residual_mixture,0.016560162391405307
23,23,medium,free_baseline,0.012325833026384339
24,24,high,closed_mechanism,0.5143099057418732
24,24,high,invariant_residual_MAP,0.024666884762138647
24,24,high,invariant_residual_ensemble,0.057146485596823726
24,24,high,evidence_weighted_residual_mixture,0.008611875135834241
24,24,high,free_baseline,0.008074852353415646
24,24,low,closed_mechanism,0.5143099057418732
24,24,low,invariant_residual_MAP,0.19025930401216465
24,24,low,invariant_residual_ensemble,0.008072380091568077
24,24,low,evidence_weighted_residual_mixture,0.03632342666821734
24,24,low,free_baseline,0.031734629253336415
24,24,medium,closed_mechanism,0.5143099057418732
24,24,medium,invariant_residual_MAP,0.03488383915800571
24,24,medium,invariant_residual_ensemble,0.05969047314798815
24,24,medium,evidence_weighted_residual_mixture,0.017414797290154316
24,24,medium,free_baseline,0.010515432693288076
25,25,high,closed_mechanism,0.49957468645820396
25,25,high,invariant_residual_MAP,0.0604201626570382
25,25,high,invariant_residual_ensemble,0.056315999091063766
25,25,high,evidence_weighted_residual_mixture,0.027937097696557764
25,25,high,free_baseline,0.018048355746976625
25,25,low,closed_mechanism,0.49957468645820396
25,25,low,invariant_residual_MAP,0.20589223661812914
25,25,low,invariant_residual_ensemble,0.011231119045502135
25,25,low,evidence_weighted_residual_mixture,0.05268310312327889
25,25,low,free_baseline,0.05366622539975093
25,25,medium,closed_mechanism,0.49957468645820396
25,25,medium,invariant_residual_MAP,0.08931500456604856
25,25,medium,invariant_residual_ensemble,0.06327887217204803
25,25,medium,evidence_weighted_residual_mixture,0.036497179313100085
25,25,medium,free_baseline,0.035932454443918294
26,26,high,closed_mechanism,0.16719245026090687
