experiment,family,condition,n,mean_normalized_utility,ci95_low,ci95_high,mean_delta_rmse,delta_rmse_ci95_low,delta_rmse_ci95_high,beneficial_rate,neutral_rate,harmful_rate,catastrophic_harm_rate,fields,b_norm,knowledge_subset,observability,method,architecture,distance
E5_prior_calibration_specificity,emergent_curvature,narrow_strong_bias,900,0.7913489392895093,0.7843009125434798,0.798732443377559,0.1945090251371343,0.18915487212731344,0.19976348711399514,1.0,0.0,0.0,0.0,,,,,,,
E5_prior_calibration_specificity,regime_change,broad_correct,900,0.6904499507019539,0.6640826066798626,0.7143304320598806,0.2239968881259599,0.21471546746240225,0.23294728414274635,0.9588888888888889,0.0077777777777777776,0.03333333333333333,0.0033333333333333335,,,,,,,
E5_prior_calibration_specificity,regime_change,family_only,900,-0.40321255847669507,-0.5696109118472662,-0.2538271325964817,0.02558716549990332,0.005359563398709901,0.045271375856567965,0.5788888888888889,0.03111111111111111,0.39,0.17555555555555555,,,,,,,
E5_prior_calibration_specificity,regime_change,medium_correct,900,0.8141892712563188,0.7994231014447557,0.8274158149830217,0.25794304948687036,0.2485003079806494,0.2669652324088351,0.9933333333333333,0.0011111111111111111,0.005555555555555556,0.0022222222222222222,,,,,,,
E5_prior_calibration_specificity,regime_change,narrow_correct,900,0.924677361569815,0.9198843831746256,0.9293029283836806,0.2859321262226185,0.2763701802283019,0.2955474088574478,1.0,0.0,0.0,0.0,,,,,,,
E5_prior_calibration_specificity,regime_change,narrow_mild_bias,900,0.8655384364026816,0.8596132681542689,0.8708225592965179,0.2693475887965035,0.260063765360069,0.27874035322731094,0.9988888888888889,0.0,0.0011111111111111111,0.0,,,,,,,
E5_prior_calibration_specificity,regime_change,narrow_strong_bias,900,0.694795564080065,0.6829161145856378,0.7062184461331914,0.22657963897289377,0.21719835939333232,0.23604822498816447,0.9955555555555555,0.0011111111111111111,0.0033333333333333335,0.0,,,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,0.07696323268367641,-0.08720508123645493,0.21200825578583588,0.003998564971033674,0.0029670218359140036,0.005089570687509521,0.56,0.3333333333333333,0.10666666666666667,0.06,lower,0.0,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-0.2926023442899387,-0.6594130074178989,0.005459490966029219,0.003794512935374672,0.0025812499225487083,0.00505156117306353,0.6,0.17333333333333334,0.22666666666666666,0.13333333333333333,lower,0.025,,,,,
E5b_calibration_tolerance,asymptotic_bound,,150,-3.769586960820514,-5.930436149098007,-2.1366879858662307,-0.004268563813005387,-0.006199008871211212,-0.002298623643278279,0.4066666666666667,0.013333333333333334,0.58,0.44,lower,0.05,,,,,
