primitive,separability,dof,prefix,mean_S,mean_ESS,E_struct,d_eff,V_f_norm
direction,low,5,0.6,0.7139455532116382,1272.4907232995909,0.3376914105976602,4.301465238729689,0.07462056376709174
direction,low,5,0.7,0.7095001361213505,1164.0631603275444,0.32706570246397487,4.260245687261298,0.07160454880288328
direction,mid,1,0.2,0.41369985605340553,3987.484074639726,0.37515881188602335,1.0,0.018645285185822258
direction,mid,1,0.3,0.4107513759013579,3653.81295792156,0.3437514940570688,1.0,0.018185497150297943
direction,mid,1,0.4,0.4068319686877048,3128.7975961102006,0.3301193418590826,1.0,0.017548901174750716
direction,mid,1,0.5,0.4021781105188748,2604.045797208766,0.3239615215984986,1.0,0.01672030490053147
direction,mid,1,0.6,0.39706365575052915,2176.192808207276,0.31450711589648983,1.0,0.015582278929970966
direction,mid,1,0.7,0.39196801238929324,1845.0631453847338,0.2976626642104634,1.0,0.014063503945505644
direction,mid,3,0.2,0.4697558546915494,3274.829312401289,0.37515881188602335,2.897995506657978,0.05216220010659995
direction,mid,3,0.3,0.4765037586277785,2864.7766347529455,0.3437514940570688,2.905831144454256,0.05310315724846943
direction,mid,3,0.4,0.47954524178359464,2530.125826028418,0.3301193418590826,2.9013388282372294,0.05375494408517827
direction,mid,3,0.5,0.4773231021762184,2260.79806571174,0.3239615215984986,2.8918016982338535,0.05430842681840212
direction,mid,3,0.6,0.46568381411209403,2018.6056351245152,0.31450711589648983,2.8711276769609078,0.05342612319638396
direction,mid,3,0.7,0.43772425105481916,1778.7389481518574,0.2976626642104634,2.8402939387812776,0.04709909055155157
direction,mid,5,0.2,0.5363185413420785,2445.897202669818,0.37515881188602335,4.506908254455162,0.08683539625499354
direction,mid,5,0.3,0.5432586901017674,2065.586830816007,0.3437514940570688,4.500086500896612,0.0819612008233694
direction,mid,5,0.4,0.5688134555251015,1747.2087405174113,0.3301193418590826,4.4427799521332325,0.0785618754913489
direction,mid,5,0.5,0.5955662028539236,1528.7149671022016,0.3239615215984986,4.354094323205372,0.07735693325919878
direction,mid,5,0.6,0.6093654084125569,1387.1872671456204,0.31450711589648983,4.238109897208527,0.07557088420507253
direction,mid,5,0.7,0.6039486558708359,1279.7593953479447,0.2976626642104634,4.2198177857127375,0.07190167526162446
inflection,high,1,0.2,1.3862943611198906,2453.5028929833898,4.6571241202621835e-09,1.0,0.5205998563776909
inflection,high,1,0.3,1.3862943611198906,1426.7955196440278,5.882390757829476e-08,1.0,0.32134775947652144
inflection,high,1,0.4,1.3862943611198906,850.2561380296951,3.492290121102822e-07,1.0,0.1944282230101849
inflection,high,1,0.5,1.3862943611198906,551.3315833055411,1.0409078839848445e-06,1.0,0.12410498152952158
inflection,high,1,0.6,1.3862943611198906,398.53721358921393,1.2318140449589964e-06,1.0,0.08441802331138219
inflection,high,1,0.7,1.3862943611198906,318.86902817309806,3.666734358405027e-07,0.9833333333333334,0.06252256537923895
inflection,high,3,0.2,1.3862943611198906,884.4790789832056,4.6571241202621835e-09,2.047517114270524,2.128054986029872
inflection,high,3,0.3,1.3862943611198906,555.7779989954944,5.882390757829476e-08,1.9602967568413014,1.9302810441086684
inflection,high,3,0.4,1.3862943611198906,298.13712286349056,3.492290121102822e-07,1.7746913477334358,1.648526071529198
inflection,high,3,0.5,1.3862943611198906,173.90603044555624,1.0409078839848445e-06,1.560965377658805,1.3853995369445624
inflection,high,3,0.6,1.3862943611198906,122.53328552854947,1.2318140449589964e-06,1.4367044702742076,1.0521297445193558
inflection,high,3,0.7,1.3862943611198906,97.00357992990222,3.666734358405027e-07,1.3446537542713664,0.6161405054440173
inflection,high,5,0.2,0.6139109117702487,196.65328873090417,4.6571241202621835e-09,3.108942325408617,3.953658934761347
inflection,high,5,0.3,0.6801478060500513,132.73721583483936,5.882390757829476e-08,2.9889766914134355,3.6419688863195585
inflection,high,5,0.4,0.6514996489885388,77.75639177895411,3.492290121102822e-07,2.7789218687802255,3.553773073613533
inflection,high,5,0.5,0.5026793816892479,40.357515508681225,1.0409078839848445e-06,2.442239192999932,3.336217884634078
