study,primitive,engine,action,support_fraction,noise_ratio,ood_distance,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate
A2_fixed_absolute_horizon,inflection,neural,true-full,0.7,0.05,0.3,60,0.85,0.75,0.9333333333333333,-0.06656587468828006,-0.08340134670529666,-0.050555663998898284,0.15,0.5
A2_fixed_absolute_horizon,inflection,spline,true-full,0.35,0.001,0.6,60,1.0,1.0,1.0,-0.005022476248027271,-0.005913685215152193,-0.004217896022079418,0.0,0.9833333333333333
A2_fixed_absolute_horizon,inflection,spline,true-full,0.35,0.01,0.6,60,0.7666666666666667,0.65,0.8666666666666667,-0.0025017974513745736,-0.0038678615370323736,-0.0011686866271396223,0.23333333333333334,0.5166666666666667
A2_fixed_absolute_horizon,inflection,spline,true-full,0.35,0.05,0.6,60,0.26666666666666666,0.16666666666666666,0.38333333333333336,0.010444727338688516,0.0067362917060826396,0.014294502676352893,0.7,0.11666666666666667
A2_fixed_absolute_horizon,inflection,spline,true-full,0.525,0.001,0.3999999999999999,60,1.0,1.0,1.0,-0.03615710323729531,-0.043421880290166595,-0.029046955519848736,0.0,0.9833333333333333
A2_fixed_absolute_horizon,inflection,spline,true-full,0.525,0.01,0.3999999999999999,60,0.9,0.8166666666666667,0.9666666666666667,-0.03287797283598068,-0.04111551450749599,-0.025522467872485625,0.1,0.8
A2_fixed_absolute_horizon,inflection,spline,true-full,0.525,0.05,0.3999999999999999,60,0.5833333333333334,0.45,0.7,-0.014589135137662614,-0.02535645712525787,-0.004055622676771326,0.4,0.48333333333333334
A2_fixed_absolute_horizon,inflection,spline,true-full,0.7,0.001,0.3,60,1.0,1.0,1.0,-0.17269547961773146,-0.1934237605327851,-0.15174789650292017,0.0,1.0
A2_fixed_absolute_horizon,inflection,spline,true-full,0.7,0.01,0.3,60,1.0,1.0,1.0,-0.17506244560891157,-0.20186562896575616,-0.15037450732914154,0.0,1.0
A2_fixed_absolute_horizon,inflection,spline,true-full,0.7,0.05,0.3,60,0.95,0.8833333333333333,1.0,-0.13921208239585012,-0.16722826161885898,-0.1141840240305094,0.05,0.85
A2_fixed_absolute_horizon,regime,neural,true-full,0.35,0.001,0.6,60,0.8333333333333334,0.7333333333333333,0.9166666666666666,-0.07385735783781686,-0.0943327664970976,-0.05484905397518448,0.15,0.55
A2_fixed_absolute_horizon,regime,neural,true-full,0.35,0.01,0.6,60,0.8333333333333334,0.7333333333333333,0.9166666666666666,-0.09197931878921649,-0.11701120824137576,-0.06822353327356226,0.13333333333333333,0.6
A2_fixed_absolute_horizon,regime,neural,true-full,0.35,0.05,0.6,60,0.9166666666666666,0.8333333333333334,0.9833333333333333,-0.08256674891045844,-0.1019140697491073,-0.06323700926949208,0.05,0.5666666666666667
A2_fixed_absolute_horizon,regime,neural,true-full,0.525,0.001,0.3999999999999999,60,1.0,1.0,1.0,-0.2931961547267459,-0.33813351193527225,-0.24974297270033308,0.0,0.9166666666666666
A2_fixed_absolute_horizon,regime,neural,true-full,0.525,0.01,0.3999999999999999,60,1.0,1.0,1.0,-0.25947620663079435,-0.2995661980185857,-0.22103863534759763,0.0,0.95
